"pyears" "prftshr" "choice" "female" "married" "age" "educ" "finc25" "finc35" "finc50" "finc75" "finc100" "finc101" "wealth89" "race" "stckin89" "irain89"
1 0 1 0 1 64 12 0 0 1 0 0 0 77.9000015258789 0 1 1
6 1 1 1 1 56 13 0 0 0 1 0 0 154.899993896484 0 1 1
25 1 1 0 1 56 12 0 0 0 1 0 0 154.899993896484 0 1 1
20 1 0 1 1 63 12 1 0 0 0 0 0 232.5 0 1 1
35 0 1 0 1 67 12 0 1 0 0 0 0 179 0 0 1
13 1 0 0 1 64 11 0 0 0 1 0 0 120.025001525879 0 1 0
2 0 1 1 1 64 12 1 0 0 0 0 0 52 0 0 1
10 1 0 1 1 64 12 1 0 0 0 0 0 52 0 0 1
26 0 0 1 1 69 12 0 1 0 0 0 0 0 0 0 0
5 0 1 0 1 60 14 0 0 0 0 0 1 183.649993896484 0 1 1
1 1 1 1 1 59 12 0 0 0 0 1 0 458 0 1 1
8 1 0 1 0 56 12 0 0 1 0 0 0 203 0 1 0
7 0 1 0 1 63 14 0 0 0 0 0 1 913 0 0 0
40 0 0 1 1 67 12 0 0 0 0 1 0 292 0 0 1
18 0 1 0 1 69 16 0 0 0 0 1 0 292 0 0 1
2 0 1 1 1 58 12 0 1 0 0 0 0 147.899993896484 0 0 0
2 0 1 1 1 58 12 0 1 0 0 0 0 147.899993896484 0 0 0
20 0 1 0 1 61 18 0 0 0 0 1 0 295.5 0 1 1
24 0 1 0 1 62 12 0 0 0 1 0 0 224.199996948242 0 0 1
5 0 0 1 1 59 16 0 0 1 0 0 0 254.899993896484 0 1 1
12 0 0 1 1 55 12 0 0 0 0 1 0 90.1999969482422 0 0 1
15 0 1 0 1 65 18 0 0 0 0 0 1 340 0 0 0
10 0 1 1 0 57 12 0 1 0 0 0 0 188.5 0 0 0
9 0 0 1 0 69 12 0 0 0 0 0 0 15 1 0 0
9 0 1 1 1 59 12 0 1 0 0 0 0 172 1 1 1
10 0 0 1 0 63 16 1 0 0 0 0 0 206 1 0 0
20 0 0 1 0 56 18 0 0 0 0 0 1 441 0 1 0
10 0 0 1 1 63 12 0 0 1 0 0 0 219.550003051758 0 0 1
10 0 0 0 1 67 12 0 0 1 0 0 0 219.550003051758 0 0 1
6 0 0 1 0 55 14 0 1 0 0 0 0 142 1 0 0
17 0 1 1 0 55 14 0 1 0 0 0 0 142 1 0 0
20 0 1 0 1 68 12 0 0 1 0 0 0 672.200012207031 0 1 1
6 0 1 0 1 68 12 0 0 1 0 0 0 672.200012207031 0 1 1
20 0 0 0 1 68 18 1 0 0 0 0 0 101 0 0 1
7 1 0 1 0 63 12 1 0 0 0 0 0 120 0 1 0
2 0 1 1 0 60 17 0 0 1 0 0 0 25.5 0 0 1
26 1 1 0 1 64 12 0 1 0 0 0 0 150 0 0 0
2 0 0 1 1 57 12 1 0 0 0 0 0 106.300003051758 0 1 1
NA 0 0 1 1 55 14 0 0 1 0 0 0 105 0 0 0
10 0 1 0 1 59 12 0 1 0 0 0 0 0 0 0 0
3 0 0 1 0 59 12 1 0 0 0 0 0 102.055999755859 0 1 1
2 0 1 1 0 55 12 0 0 1 0 0 0 90 0 0 1
35 0 0 1 0 64 17 0 1 0 0 0 0 64.8190002441406 1 0 1
10 0 1 0 1 66 12 0 1 0 0 0 0 0 0 0 0
2 1 1 1 0 57 12 0 0 0 0 0 1 1.5 0 0 0
5 0 1 1 1 69 12 1 0 0 0 0 0 302 0 1 1
12 0 0 1 1 59 18 0 0 0 0 1 0 175 1 0 1
15 0 0 0 1 61 18 0 0 0 0 1 0 175 1 0 1
6 0 1 0 1 60 16 0 0 0 1 0 0 136 0 0 1
3 0 1 1 0 60 8 1 0 0 0 0 0 1.60000002384186 0 0 0
25 1 0 0 1 73 12 0 0 1 0 0 0 165 0 0 0
NA 0 1 0 1 61 16 0 0 0 0 0 1 -579.997009277344 0 1 1
6 0 1 1 0 64 15 0 0 0 0 1 0 248 0 1 1
3 0 1 1 1 61 12 1 0 0 0 0 0 306.799987792969 0 0 1
3 0 1 0 1 62 11 1 0 0 0 0 0 306.799987792969 0 0 1
1 0 1 1 1 56 12 1 0 0 0 0 0 227 0 0 1
12 0 1 0 1 59 12 0 1 0 0 0 0 261.600006103516 0 1 1
20 0 0 0 1 68 8 1 0 0 0 0 0 133 0 1 1
14 0 1 1 0 59 16 1 0 0 0 0 0 214 0 0 1
6 1 1 0 1 65 12 0 1 0 0 0 0 68 0 0 0
3 0 0 1 0 60 12 1 0 0 0 0 0 171.699996948242 0 1 1
7 0 0 1 0 57 12 1 0 0 0 0 0 87 0 0 0
28 1 0 0 1 63 12 0 0 1 0 0 0 402.951995849609 0 1 1
11 0 0 1 1 55 12 0 1 0 0 0 0 369.399993896484 0 0 0
10 1 0 0 1 64 11 0 1 0 0 0 0 38.5 0 0 0
17 0 0 0 1 61 18 0 0 0 0 1 0 79.8000030517578 0 0 0
15 0 1 1 1 57 9 0 0 0 0 1 0 70 0 0 0
8 0 1 0 1 61 18 0 0 0 0 1 0 70 0 0 0
2 0 1 0 1 62 18 0 0 0 0 1 0 711.997009277344 0 1 0
16 1 1 0 1 57 14 0 0 1 0 0 0 98 0 0 0
13 0 1 1 1 57 12 0 0 0 1 0 0 87.5 0 0 1
5 0 1 1 1 60 12 0 1 0 0 0 0 0 0 0 0
1 0 1 1 1 56 12 0 0 1 0 0 0 120.5 0 0 1
6 0 1 0 1 55 18 0 0 0 0 1 0 5.69999980926514 0 1 0
25 0 1 0 1 63 16 0 0 0 1 0 0 525 0 1 1
2 0 1 1 1 62 12 0 1 0 0 0 0 483 0 0 1
4 1 1 0 1 64 12 0 0 1 0 0 0 98.6999969482422 0 0 0
45 1 1 0 1 64 12 0 0 1 0 0 0 98.6999969482422 0 0 0
2 0 1 1 0 56 12 1 0 0 0 0 0 2 0 0 0
20 0 1 0 1 60 14 0 0 1 0 0 0 180.399993896484 0 1 0
38 0 0 0 1 56 15 0 0 0 0 1 0 110 0 0 0
38 1 0 0 1 56 15 0 0 0 0 1 0 110 0 0 0
13 1 1 1 1 64 14 1 0 0 0 0 0 79.4499969482422 0 0 1
1 0 1 1 1 55 12 0 0 0 1 0 0 314 0 1 1
6 0 1 1 1 55 12 0 0 0 1 0 0 314 0 1 1
3 0 1 1 0 55 16 0 0 1 0 0 0 42 0 0 0
15 0 1 1 0 64 8 1 0 0 0 0 0 47.4000015258789 0 0 1
7 0 1 1 1 68 14 0 0 0 0 0 0 208.399993896484 0 1 1
22 0 0 1 1 65 14 0 0 0 0 0 0 21 0 0 0
23 0 1 0 1 72 18 0 1 0 0 0 0 98.9000015258789 0 0 0
6 1 1 1 1 58 12 0 0 0 0 0 0 33.8800010681152 0 1 0
3 0 1 1 1 58 12 0 0 0 0 0 0 33.8800010681152 0 1 0
3 0 0 1 0 56 12 0 1 0 0 0 0 96 0 0 0
15 0 0 1 0 57 9 1 0 0 0 0 0 66.5479965209961 0 0 0
5 0 0 1 1 59 14 1 0 0 0 0 0 42.4599990844727 1 1 1
27 0 1 1 0 63 12 0 0 0 0 0 0 105.199996948242 0 1 0
12 0 1 1 1 59 18 0 0 0 0 1 0 370 0 0 0
12 0 0 1 1 59 18 0 0 0 0 1 0 370 0 0 0
13 0 1 1 0 57 12 1 0 0 0 0 0 0 1 0 0
14 0 0 1 0 61 12 1 0 0 0 0 0 25 1 0 0
18 0 0 1 1 56 16 0 0 1 0 0 0 265 0 0 0
18 0 0 0 1 58 16 0 0 1 0 0 0 265 0 0 0
9 0 1 1 0 56 12 0 0 1 0 0 0 -3.79999995231628 1 0 0
24 0 0 0 1 65 12 0 0 1 0 0 0 48.3699989318848 1 0 0
6 0 1 1 0 55 12 0 0 1 0 0 0 15.5 0 0 0
20 0 1 0 1 64 12 0 1 0 0 0 0 -6.30000019073486 0 0 0
4 0 1 1 0 58 18 0 1 0 0 0 0 89 0 1 1
2 0 1 1 1 55 11 0 0 1 0 0 0 70.3000030517578 1 0 0
1 1 1 1 1 61 16 0 0 0 0 0 0 810 0 1 1
1 0 1 0 1 64 18 0 0 0 0 1 0 341 0 1 1
24 0 0 0 1 56 12 0 1 0 0 0 0 50 0 0 0
12 0 0 1 1 64 12 0 1 0 0 0 0 152 0 1 1
1 1 1 1 0 62 12 1 0 0 0 0 0 31.2000007629395 0 0 1
1 0 1 1 1 60 16 0 0 0 1 0 0 584.200012207031 0 1 0
3 0 1 1 1 58 13 0 0 0 1 0 0 633 0 1 1
7 0 1 1 1 57 14 0 0 1 0 0 0 79.8000030517578 0 0 1
20 1 1 0 1 69 12 0 0 0 1 0 0 166.5 0 1 0
20 0 0 1 1 58 9 0 1 0 0 0 0 7.90000009536743 1 0 0
4 1 0 1 0 58 16 0 0 1 0 0 0 65.0999984741211 0 0 1
10 0 1 1 0 56 12 1 0 0 0 0 0 -1.10000002384186 1 0 0
2 0 0 1 1 59 16 1 0 0 0 0 0 194.949996948242 0 1 0
9 1 1 1 1 62 12 0 0 1 0 0 0 140 0 1 1
10 0 1 0 1 65 12 0 0 1 0 0 0 140 0 1 1
2 1 0 1 0 55 16 0 0 0 0 0 0 -2.29999995231628 1 0 0
9 1 0 0 1 68 13 0 1 0 0 0 0 243.199996948242 0 0 1
20 0 1 0 1 57 12 0 0 0 1 0 0 595 0 1 1
10 0 1 0 1 60 17 0 0 1 0 0 0 225 0 0 1
9 1 0 1 1 55 12 0 0 1 0 0 0 691 0 1 1
5 0 0 0 1 59 12 0 0 1 0 0 0 70.4000015258789 0 0 0
8 0 1 0 1 58 17 0 0 0 1 0 0 390.100006103516 0 1 1
