# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 21 14:06:08 2018
#
# CONSTRAINT:  where (av_training_set like '%UNK%'
# CONSTRAINT:  and av_pred_class like '%PC%'
# CONSTRAINT:  )
# CONSTRAINT:  order by av_training_set desc, av_pred_class asc
#
# COLUMN kepid:          KepID
# COLUMN tce_plnt_num:   Planet Number
# COLUMN av_training_set: Autovetter Training Set Label
# COLUMN av_pred_class:  Autovetter Predicted Classification
#
rowid,kepid,tce_plnt_num,av_training_set,av_pred_class
1,1162345,2,AFP,AFP
2,1292087,2,UNK,NTP
3,1293031,2,UNK,NTP
4,1162345,3,AFP,AFP
5,1164109,1,UNK,NTP
6,757450,1,PC,PC
7,892667,1,NTP,NTP
8,892772,1,AFP,AFP
9,1026032,1,UNK,AFP
10,1026032,2,UNK,AFP
11,1026133,2,UNK,NTP
12,1026133,1,UNK,NTP
13,1028018,1,UNK,NTP
14,1026957,1,AFP,PC
15,1160891,1,AFP,AFP
16,1160891,2,AFP,AFP
17,1160891,3,AFP,AFP
18,1162150,2,AFP,AFP
19,1162150,1,AFP,AFP
20,1161345,1,PC,AFP
21,1162150,3,UNK,NTP
22,1293031,1,UNK,NTP
23,1162345,1,AFP,AFP
24,1292087,1,NTP,NTP
25,1573174,2,AFP,AFP
26,1574792,1,NTP,NTP
27,1575690,1,AFP,AFP
28,1575873,1,AFP,AFP
29,1865567,1,NTP,NTP
30,1865567,2,AFP,AFP
31,1865567,3,AFP,AFP
32,2019227,1,NTP,NTP
33,2019297,1,UNK,NTP
34,2019477,1,PC,PC
35,2167600,1,NTP,NTP
36,2167600,2,AFP,AFP
37,2167600,3,AFP,AFP
38,2167783,1,UNK,NTP
39,2306740,2,AFP,AFP
40,2306740,3,AFP,AFP
41,2307197,1,UNK,NTP
42,2307199,1,AFP,AFP
43,2439211,2,AFP,AFP
44,2439243,1,PC,PC
45,2439469,1,UNK,NTP
46,2439660,1,UNK,NTP
47,2554853,1,AFP,AFP
48,2554853,2,AFP,AFP
49,2554867,1,UNK,NTP
50,2554867,2,AFP,AFP
51,2578072,1,AFP,NTP
52,2578077,1,AFP,AFP
53,2578077,2,AFP,AFP
54,2693092,2,AFP,AFP
55,2693097,1,NTP,NTP
56,2693097,2,NTP,NTP
57,2693097,3,NTP,NTP
58,2714932,1,AFP,AFP
59,2714932,2,AFP,AFP
60,2714947,1,AFP,AFP
61,2714954,1,AFP,AFP
62,2721129,1,UNK,NTP
63,2721129,2,UNK,NTP
64,2721835,1,UNK,NTP
65,2722074,1,NTP,NTP
66,2854698,1,PC,PC
67,2854698,2,PC,PC
68,2854914,1,PC,PC
69,2854914,2,PC,PC
70,2987660,1,UNK,NTP
71,2987660,2,NTP,NTP
72,2988145,1,AFP,AFP
73,2988145,2,AFP,AFP
74,1575977,1,UNK,NTP
75,2992648,1,UNK,NTP
76,2992648,2,AFP,AFP
77,2992648,3,AFP,AFP
78,2855603,2,AFP,AFP
79,2855680,1,UNK,NTP
80,2855680,2,UNK,NTP
81,2856756,1,AFP,AFP
82,2857323,2,AFP,AFP
83,2857607,1,PC,PC
84,2857722,1,AFP,AFP
85,2857722,2,AFP,AFP
86,2860114,1,AFP,AFP
87,2860594,1,AFP,AFP
88,2860594,2,UNK,AFP
89,2860594,3,AFP,AFP
90,2860594,4,AFP,AFP
91,2307199,2,AFP,AFP
92,2860851,1,AFP,AFP
93,2860851,2,AFP,AFP
94,2439798,1,NTP,NTP
95,2969628,2,AFP,AFP
96,2969628,3,AFP,AFP
97,2969638,1,AFP,AFP
98,2554867,3,AFP,AFP
99,2970670,1,UNK,PC
100,2970804,1,AFP,AFP
101,2970804,2,UNK,NTP
102,2971415,2,AFP,AFP
103,2971415,3,UNK,NTP
104,2972005,1,UNK,NTP
105,2972005,2,UNK,NTP
106,2693450,1,AFP,AFP
107,2974815,1,UNK,NTP
108,2974858,1,NTP,NTP
109,2975770,1,PC,PC
110,2714955,1,NTP,NTP
111,2984505,1,UNK,NTP
112,2985022,1,UNK,NTP
113,2985398,1,AFP,AFP
114,2985398,2,AFP,AFP
115,2985587,1,PC,PC
116,2985767,1,PC,PC
117,2988145,3,UNK,NTP
118,2988768,1,NTP,NTP
119,2988783,1,UNK,NTP
120,2989404,1,PC,PC
121,1293379,1,UNK,PC
122,1294670,1,AFP,AFP
123,1294670,2,AFP,AFP
124,1294756,1,UNK,NTP
125,1575977,2,UNK,NTP
126,1575977,3,UNK,NTP
127,1576115,1,UNK,NTP
128,1576115,2,AFP,AFP
129,1866252,1,UNK,AFP
130,1867078,1,UNK,NTP
131,1867630,1,NTP,NTP
132,1868918,1,UNK,NTP
133,2019477,2,PC,PC
134,2019477,3,UNK,NTP
135,2019477,4,NTP,NTP
136,2020444,1,UNK,NTP
137,2167783,2,UNK,NTP
138,2167890,1,AFP,AFP
139,2167890,2,AFP,AFP
140,2168333,1,UNK,NTP
141,2307206,1,AFP,AFP
142,2307206,2,AFP,AFP
143,2307415,1,PC,PC
144,2307415,2,PC,PC
